model,kinase,source_pdb,target_pdb,t,distance_to_source,distance_to_target,distance_to_active,distance_to_inactive,distance_matrix_consistency_error,is_observed_structure,supervision_status
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqf,0.0,0.0,10.4865083694458,10.4865083694458,0.0,0.0,True,observed source endpoint
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqf,0.25,1.3018529415130615,10.523259162902832,10.523259162902832,1.3018529415130615,0.9274832606315613,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqf,0.5,2.621229648590088,10.720744132995605,10.720744132995605,2.621229648590088,1.8474582433700562,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqf,0.75,3.945852518081665,11.028093338012695,11.028093338012695,3.945852518081665,2.763282299041748,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqf,1.0,5.277575969696045,11.494712829589844,11.494712829589844,5.277575969696045,3.676100969314575,False,generated endpoint prediction supervised against observed target
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqc,0.0,0.0,9.130705833435059,9.130705833435059,0.0,0.0,True,observed source endpoint
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqc,0.25,1.3303725719451904,9.202532768249512,9.202532768249512,1.3303725719451904,0.8535063862800598,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqc,0.5,2.6770336627960205,9.46689510345459,9.46689510345459,2.6770336627960205,1.7016319036483765,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqc,0.75,4.024384021759033,9.864553451538086,9.864553451538086,4.024384021759033,2.545125961303711,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,KIT,6gql,8pqc,1.0,5.380525588989258,10.435051918029785,10.435051918029785,5.380525588989258,3.384216547012329,False,generated endpoint prediction supervised against observed target
bidirectional_self_consistent_guidance_1.0,MET,3rhk,4iwd,0.0,0.0,9.51522445678711,9.51522445678711,0.0,0.0,True,observed source endpoint
bidirectional_self_consistent_guidance_1.0,MET,3rhk,4iwd,0.25,1.3833497762680054,9.606009483337402,9.606009483337402,1.3833497762680054,0.9404842257499695,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,MET,3rhk,4iwd,0.5,2.781721591949463,9.892261505126953,9.892261505126953,2.781721591949463,1.8876001834869385,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,MET,3rhk,4iwd,0.75,4.191976070404053,10.327301025390625,10.327301025390625,4.191976070404053,2.8398382663726807,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,MET,3rhk,4iwd,1.0,5.611279010772705,10.944524765014648,10.944524765014648,5.611279010772705,3.7954089641571045,False,generated endpoint prediction supervised against observed target
bidirectional_self_consistent_guidance_1.0,MET,3efj,3efk,0.0,0.0,0.585792064666748,0.585792064666748,0.0,0.0,True,observed source endpoint
bidirectional_self_consistent_guidance_1.0,MET,3efj,3efk,0.25,1.4239864349365234,1.5333199501037598,1.5333199501037598,1.4239864349365234,0.38321739435195923,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,MET,3efj,3efk,0.5,2.8540842533111572,2.908162832260132,2.908162832260132,2.8540842533111572,0.7756615281105042,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,MET,3efj,3efk,0.75,4.305543899536133,4.3396830558776855,4.3396830558776855,4.305543899536133,1.1792428493499756,False,latent generated hypothesis
bidirectional_self_consistent_guidance_1.0,MET,3efj,3efk,1.0,5.777833461761475,5.801035404205322,5.801035404205322,5.777833461761475,1.5926951169967651,False,generated endpoint prediction supervised against observed target
bidirectional_self_consistent_guidance_1.0,KIT,8pqf,6gql,0.0,0.0,10.481769561767578,0.0,10.481769561767578,0.0,True,observed source endpoint
bidirectional_self_consistent_guidance_1.0,KIT,8pqf,6gql,0.25,1.6942671537399292,10.205083847045898,1.6942671537399292,10.205083847045898,0.9367312788963318,False,latent generated hypothesis
